Bootstrap,Technique,S_CC_Pearson,S_CC_Spearman,S_CC_Pairwise,S_CC_Layer,S_CC_Variance,Num_Layers,S_CC_Pearson_Norm,S_CC_Spearman_Norm,S_CC_Pairwise_Norm,S_CC_Layer_Norm,S_CC_Variance_Norm,S_CC_Aggregate,Rank,Rank_Pearson,Rank_Spearman,Rank_Pairwise,Rank_Layer,Rank_Variance
847,CKA Similarity,0.21460470434258724,0.21637501237452844,0.5170036764705882,0.2056714936674853,0.01152140916583494,25,0.9268212684098286,0.570128331140608,0.013452914798205953,0.5835909657145509,0.026918174330609924,0.4241823308787606,3,3.0,2.0,2.0,2.0,4.0
847,Cosine Similarity,0.21463867287891422,0.21626944198671794,0.5170036764705882,0.20559623244441178,0.005780049930836284,25,0.9271271396470655,0.5693603615925599,0.013452914798205953,0.582993937380167,0.0,0.4185868706835997,4,2.0,3.0,2.0,3.0,5.0
847,Subspace-oriented Representational Analysis,0.11167654996955192,0.13800124199100583,0.515625,0.1321041814901518,0.2190693749973541,25,0.0,0.0,0.0,0.0,1.0,0.2,5,5.0,5.0,5.0,5.0,1.0
848,Attention Entropy Analysis,0.21813544722781544,0.2409708562225965,0.5956284153005464,0.22315886770321455,0.1000702908815719,24,1.0,1.0,0.0,1.0,0.4307031169319785,0.6861406233863957,1,1.0,1.0,5.0,1.0,3.0
848,Subspace-oriented Representational Analysis,0.13363690701497277,0.1478039172029902,0.6759142496847415,0.1404695814883007,0.22501854690050538,25,0.0,0.0,1.0,0.0,1.0,0.4,2,5.0,5.0,1.0,5.0,1.0
848,Layer-wise Activation Distance,0.2057689827355371,0.16819543451839492,0.6120218579234973,0.15759487537501196,0.10352588308514818,25,0.8536487794803488,0.21887074460086617,0.20418848167539297,0.20710414457081805,0.44644769739536666,0.3860519695445585,3,2.0,3.0,2.0,3.0,2.0
848,CKA Similarity,0.20469463220694134,0.16833519094527102,0.6120218579234973,0.15768699890527518,0.011048416618501948,25,0.8409343523921461,0.22037080919831634,0.20418848167539297,0.20821823727230526,0.02509621086072042,0.29976161827977627,4,3.0,2.0,2.0,2.0,4.0
848,Cosine Similarity,0.20468257724363023,0.16819543451839492,0.6120218579234973,0.15759487537501196,0.005540345394167199,25,0.8407916876398233,0.21887074460086617,0.20418848167539297,0.20710414457081805,0.0,0.29419101169738004,5,4.0,3.0,2.0,3.0,5.0
849,Attention Entropy Analysis,0.1883143900488012,0.22012078860955026,0.570999570999571,0.20531480345032535,0.09966043968675423,24,1.0,1.0,0.9622641509433985,1.0,0.45829517242747914,0.8841118646741755,1,1.0,1.0,4.0,1.0,3.0
849,Layer-wise Activation Distance,0.17630029649068704,0.17528769067569744,0.5718575718575718,0.16531094114442976,0.1027763163058774,25,0.8747564856993704,0.6187473414439536,1.0,0.620004218034426,0.47345794224826554,0.717393197485203,2,2.0,3.0,1.0,3.0,2.0
849,CKA Similarity,0.17519762683561987,0.1754412074431927,0.5718575718575718,0.16543177094684577,0.01093443762504169,25,0.8632614676153799,0.6200528206197815,1.0,0.6211519775908089,0.02652841435894151,0.6261989360369824,3,4.0,2.0,1.0,2.0,4.0
849,Cosine Similarity,0.17521235319757272,0.17528769067569744,0.5718575718575718,0.16531094114442976,0.0054829754568222035,25,0.8634149857576282,0.6187473414439536,1.0,0.620004218034426,0.0,0.6204333090472016,4,3.0,3.0,1.0,3.0,5.0
849,Subspace-oriented Representational Analysis,0.09238851616062518,0.10252659765058521,0.5491205491205491,0.10004031303632448,0.21097818879519684,25,0.0,0.0,0.0,0.0,1.0,0.2,5,5.0,5.0,5.0,5.0,1.0
850,Attention Entropy Analysis,0.20318319406295743,0.24090346426452597,0.5615763546798029,0.22691329786971515,0.10008408701717461,24,1.0,1.0,0.17647058823529393,1.0,0.44895343370235463,0.7250848043875298,1,1.0,1.0,2.0,1.0,3.0
850,Subspace-oriented Representational Analysis,0.13344830842967462,0.13266372894238102,0.6535303776683087,0.12629350249370855,0.21631177888255423,25,0.0,0.0,1.0,0.0,1.0,0.4,2,5.0,5.0,1.0,5.0,1.0
850,Layer-wise Activation Distance,0.16617198957290663,0.162395756628931,0.541871921182266,0.1527482339408251,0.10226064135832742,25,0.46925840411235686,0.2746868106990562,0.0,0.26291776233749764,0.45927268530929244,0.29322713249164056,3,2.0,3.0,3.0,3.0,2.0
850,CKA Similarity,0.1608049603067998,0.16263460256874185,0.541871921182266,0.1529156688735092,0.010750150132978562,25,0.3922950705187434,0.2768934489460918,0.0,0.26458179804795007,0.025412723361965074,0.1918366081749501,4,3.0,2.0,3.0,2.0,4.0
850,Cosine Similarity,0.16072364580042214,0.162395756628931,0.541871921182266,0.1527482339408251,0.005390054705436776,25,0.39112901846833537,0.2746868106990562,0.0,0.26291776233749764,0.0,0.18574671830097783,5,4.0,3.0,3.0,3.0,5.0
851,Attention Entropy Analysis,0.24424137991269024,0.2944995298581505,0.6589499793303017,0.27458960049915726,0.11647035636453064,24,1.0,1.0,1.0,1.0,0.5058485083276142,0.9011697016655228,1,1.0,1.0,1.0,1.0,2.0
851,Layer-wise Activation Distance,0.22412990660942028,0.24671118029883152,0.639107069036792,0.2345183182524713,0.1095406341800419,25,0.8402224621140922,0.6881719244511482,0.833910034602076,0.7130409584714865,0.47402978632654263,0.7098750331930691,2,4.0,3.0,2.0,3.0,3.0
851,CKA Similarity,0.2317769033840119,0.24692990165143766,0.639107069036792,0.23464538883523042,0.012561594022373602,25,0.9009747649633852,0.6895991229021002,0.833910034602076,0.7139509381524598,0.02873789199712185,0.6334345505234287,3,3.0,2.0,2.0,2.0,4.0
851,Cosine Similarity,0.23183007351595714,0.24671118029883152,0.639107069036792,0.2345183182524713,0.006302838321840122,25,0.9013971802008555,0.6881719244511482,0.833910034602076,0.7130409584714865,0.0,0.6273040195451133,4,2.0,3.0,2.0,3.0,5.0
851,Subspace-oriented Representational Analysis,0.11836966121321353,0.14124729471156788,0.5394791236047954,0.13494847947630106,0.22409040955915652,25,0.0,0.0,0.0,0.0,1.0,0.2,5,5.0,5.0,5.0,5.0,1.0
852,Attention Entropy Analysis,0.228852639871142,0.2493597201909005,0.6155394524959743,0.23393923789758012,0.10370687372157351,24,1.0,1.0,1.0,1.0,0.4544141684296466,0.8908828336859294,1,1.0,1.0,1.0,1.0,3.0
852,Layer-wise Activation Distance,0.2258246777634363,0.18366391300507304,0.5881642512077294,0.17416893106602147,0.10615256642544801,25,0.9765861790473902,0.5165053369341599,0.7030567685589509,0.5170684205714937,0.465774166618887,0.6357981743461762,2,4.0,3.0,2.0,3.0,2.0
852,CKA Similarity,0.22874022418554893,0.1838068606861764,0.5881642512077294,0.17423143820673742,0.0117147647313486,25,0.9991307418517417,0.517557374253918,0.7030567685589509,0.5175734651963538,0.027120015775958774,0.5528876731273846,3,3.0,2.0,2.0,2.0,4.0
852,Cosine Similarity,0.2287434584807102,0.18366391300507304,0.5881642512077294,0.17416893106602147,0.00587609965347514,25,0.9991557511501145,0.5165053369341599,0.7030567685589509,0.5170684205714937,0.0,0.5471572554429438,4,2.0,3.0,2.0,3.0,5.0
