Technique,Layer,Layer_Mean,S_CC_Pearson_Layer,S_CC_Spearman_Layer
Layer-wise Activation Distance,10,0.10448686212161201,0.17414298888415838,0.149492955388491
Layer-wise Activation Distance,11,0.10249956782971685,0.16639705985982567,0.1406987925828434
Layer-wise Activation Distance,12,0.10028730446244741,0.15123120058011322,0.13016710231751472
Layer-wise Activation Distance,13,0.09859115312622144,0.14294565521900546,0.1167675826424699
Layer-wise Activation Distance,14,0.10149177791440757,0.13144660065478683,0.1079866343335849
Layer-wise Activation Distance,15,0.10169575332568455,0.1263198561056996,0.10159889582980232
Layer-wise Activation Distance,16,0.09961415057504892,0.12041942743939633,0.09613222904978849
Layer-wise Activation Distance,17,0.0977109412697186,0.11760616300091443,0.09249372068210097
Layer-wise Activation Distance,18,0.09373654528959484,0.1217557317536165,0.0897302038305061
Layer-wise Activation Distance,19,0.0924183846283721,0.13140102414551666,0.09930938274373804
Layer-wise Activation Distance,20,0.09079180753637042,0.13420937403140462,0.10288230209108021
Layer-wise Activation Distance,21,0.08771022415269623,0.14652726388431478,0.11214859137432863
Layer-wise Activation Distance,22,0.08506429104787758,0.1633547197545152,0.12056889543635974
Layer-wise Activation Distance,23,0.07062494203969108,0.163174986045892,0.1092311165827295
Layer-wise Activation Distance,24,0.1137522546115972,0.1624957591821707,0.12574031965361276
Attention Entropy Analysis,0,0.06368547439575195,0.24279582630383023,0.30294662559171576
Attention Entropy Analysis,1,0.09887733221054078,0.24654664296087728,0.3151136846390332
Attention Entropy Analysis,2,0.07360638618469238,0.25278441202621454,0.32769835450018536
Attention Entropy Analysis,3,0.06329401731491088,0.23230716130272752,0.29002151942535875
Attention Entropy Analysis,4,0.06058278322219848,0.2202281847139332,0.28377002424075026
Attention Entropy Analysis,5,0.10078729867935181,0.2161034729314771,0.28654383335456074
Attention Entropy Analysis,6,0.06425119400024414,0.2136545400086517,0.282051561062793
Attention Entropy Analysis,7,0.06986085176467896,0.21085253501465503,0.282602117742106
Attention Entropy Analysis,8,0.06653234720230103,0.21609531131312107,0.28717956994508576
Attention Entropy Analysis,9,0.060657529830932616,0.22185281566810044,0.270948376493228
Attention Entropy Analysis,10,0.06659732580184936,0.17438516591985423,0.13154443159910442
Attention Entropy Analysis,11,0.05903208255767822,0.20185220561366948,0.2489985159598775
Attention Entropy Analysis,12,0.0582211709022522,0.21990262790201656,0.26876160874994254
Attention Entropy Analysis,13,0.06204407930374146,0.15486257863570976,0.18516141469200573
Attention Entropy Analysis,14,0.06838586807250976,0.20927471779900508,0.2558102097186432
Attention Entropy Analysis,15,0.06170054197311401,0.1984914198556628,0.23208156093539717
Attention Entropy Analysis,16,0.05893141031265259,0.21200736698527498,0.2500745572646805
Attention Entropy Analysis,17,0.05149748563766479,0.21245258710466852,0.18774162945638703
Attention Entropy Analysis,18,0.048116599321365354,0.0855276464503445,0.05337396925075185
Attention Entropy Analysis,19,0.0408639407157898,0.13655938694936184,0.12030557164538572
Attention Entropy Analysis,20,0.05119412064552307,0.18480870524371262,0.18156736980580487
Attention Entropy Analysis,21,0.039196678400039674,0.19206434430429295,0.20956725149408653
Attention Entropy Analysis,22,0.04799810290336609,0.19461318685557707,0.2503905238050419
Attention Entropy Analysis,23,0.08268163919448852,0.25197562954474934,0.3034599326350618
Subspace-oriented Representational Analysis,0,0.29167700504150196,0.1795763476473221,0.19953462961766416
Subspace-oriented Representational Analysis,1,0.19968105575793696,0.155794857731502,0.15485601392552026
Subspace-oriented Representational Analysis,2,0.2273753981817721,0.14027370886703783,0.12439353176222707
